1780052379,201.09,145.84,789
1780052380,163.90,119.57,627
1780052381,143.71,111.29,606
1780052382,169.36,132.00,926
1780052383,159.41,114.44,585
1780052384,177.58,143.19,847
1780052385,166.00,121.57,637
1780052386,229.05,144.37,813
1780052387,147.03,115.80,714
1780052388,172.48,131.07,673
1780052389,192.91,132.83,727
1780052390,142.33,99.48,511
1780052391,245.73,193.66,1038
1780052392,162.71,129.41,682
1780052393,143.27,104.84,614
1780052394,151.38,116.41,657
1780052395,169.72,132.83,699
1780052396,149.13,121.45,650
1780052397,148.92,111.86,629
1780052398,127.03,97.89,611
1780052399,135.10,99.52,550
1780052400,129.83,101.11,578
1780052401,140.46,100.38,584
1780052402,135.42,100.10,584
1780052403,123.37,91.05,513
1780052404,120.19,87.59,532
1780052405,120.32,85.90,456
1780052406,128.32,94.97,491
1780052407,106.65,79.39,474
1780052408,144.70,104.04,620
1780052409,129.67,94.85,558
1780052410,151.42,111.66,585
1780052411,144.69,101.98,548
1780052412,149.18,119.21,846
1780052413,141.14,105.82,653
1780052414,149.33,115.83,931
1780052415,143.32,113.18,814
1780052416,136.05,111.74,673
1780052417,147.77,108.21,518
1780052418,146.69,108.46,582
1780052419,125.46,88.62,481
1780052420,123.55,92.15,521
1780052421,121.28,88.41,546
1780052422,116.88,92.46,581
1780052423,133.92,106.35,713
1780052424,124.17,96.25,496
1780052425,101.59,69.33,378
1780052426,115.20,85.33,524
1780052427,106.31,81.15,495
1780052428,112.75,82.75,475
1780052429,114.33,85.12,544
1780052430,109.47,84.17,475
1780052431,116.75,88.03,530
1780052432,107.11,80.25,545
1780052433,112.65,86.75,454
1780052434,126.82,98.46,530
1780052435,148.48,111.11,662
1780052436,136.06,97.38,513
1780052437,119.76,96.69,589
1780052438,125.16,93.55,497
1780052439,117.35,90.20,623
1780052440,129.02,95.71,559
1780052441,120.60,89.16,519
1780052442,151.70,111.81,637
1780052443,123.47,92.70,530
1780052444,123.74,89.80,495
1780052445,126.29,95.62,613
1780052446,148.11,107.40,528
1780052447,140.67,107.31,614
1780052448,149.30,110.41,576
1780052449,128.54,98.80,536
1780052450,131.91,90.57,494
1780052451,120.23,84.73,462
1780052452,135.75,103.04,614
1780052453,151.27,115.36,608
1780052454,111.99,88.69,525
1780052455,119.54,83.81,456
1780052456,125.41,102.32,678
1780052457,144.06,100.77,540
1780052458,129.09,93.86,480
1780052459,124.68,90.56,545
